comment,sentiment
What bothers you is not the money but that you feel undervalued I was in the same situation constantly underpaid and suspected it like you Never really was actively job hunting An excolleague insisted that I apply to their new company Finally I did apply I failed but during recruitment I learned that the potential company had salary range 25x 33x what I was earning After rejection I processed that info and in the next 2 weeks I quit the currect job without a new one lined up only on the basis of feeling like a sucker now It was no longer a feeling but a proven fact That was great decision took a long break and found a job with 3x higher comp Now I both earn more AND I feel valued Job market was different though so taking this risk wasnt that reckless,Positive
Yeah if I had to take a guess Id expect a senior PM salary in a Poland to be similar to the one you had in Spain ie 6070k a year Which city are you based in Or is this a remote role,Neutral
I just want to say that I would leave southern Europe at 62k lmao specially considering that you werent going to earn signficantly more,Neutral
You are probably underpaid by IT standards if you have 12 yoe and you are a senior pm Below you can see salaries of graduates in their first year to note many of them are probably experienced people wanting to get the degree part time thus making the salaries higher than actual students students,Negative
The truth is the best way to get a raise is to find a new job,Neutral
You are underpaid But unfortunately all companies are using whatever excuse to not give any raise I have the same situation,Negative
14k gross or net If gross then oh my god If net still not great But I think lack of Polish is a big handicap as you are limited to englishspeaking companies only And plenty companies while they are bilingual Polish is preferred in every day work,Neutral
I learned something in my life and career I know my calibre and most part I felt that I am underpaid for the value that I add I felt my reporting managers do not hold against my stuff This led me to be frustrated anxious and unhappy Started impacting my personal life also I understood this and changed my approach Further evaluation led to the fact that I am only 36 years old and already fall under 1 of top salaried people in India Now the only thing I evaluate is am I paid enough to lead the quality of life I want save and invest some money for emergency and future My life has changed now I have started chasing my own dreams goals and quality of life that I desire Not compare with others Are you paid enough to lead the quality of life that satisfies you irrespective of current year freeze If so start chasing peace and happiness in life Else focus on what you desire and not what others get Move on and find a job that you want and will make you happy I understand while the absolute value of income may not be the same but after PPP consideration how is the quality of life,Neutral
Dude why did you leave Spain You never getting a better deal than that,Negative
yes you are underpaid,Negative
Very very underpaid,Negative
Im not exaggerating you could earn almost double with your experience Looks unlikely to achieve that in your current company I would look for other options,Negative
I would expect about 20k,Neutral
Yeah theyre ripping you off leave for somewhere that respects you,Negative
You are definitely underpaid You can expect this level of salary for a junior position in Warsaw When it comes to polish skills Im not sure if that will make so much difference for your salary I know lot of IT professionals in Poland who dont speak polish and still earn a very comfortable salary Try to look for US companies based in Poland usually the working language is English,Neutral
If you count your experience in steel manufacturing you are underpaid They pay you kinda like a junior But the thing is youll never get a major raise in your current company just based on merit Small raises over the years yes but large raise no Only way to get a major raise is to get an offer at some other company with a major raise And then either take it or use it to leverage a raise Whether changing companies in this economy is wise is another question But I heard that the market in Poland is quite good Regarding the language theres only one way to properly learn it immersion If you speak English at home and English at your workplace and only have a lesson or two a week youll never really learn it We implement a complex software for Tier 1 companies Siemens Emirates McKinsey Deloitte IBM Bank of America This doesnt mean anything A lot of cheap companies are doing outsourcing for big names I mean cheap in terms of wages Its how these companies make money,Negative
Tbh a lot of it boils down to abilities Many people repeat that its los for yoe But we cant know if you have 12 yoe or 1 yoe times 12 There are definitely people who do If you have a solid skill set then Id say 18k to 25k should be easy to get as a technical PM Theres not enough good technical PMs many are just developers who programmed for one year didnt like it and moved up They dont really have enough in the trenches experience to relate to dev work,Neutral
Just start applying to roles that interest you Your current company wont give you a significant raise unless you have either a evidence that they hire new people with fewer responsibilities and higher pay b an offer with a bigger salary And also dont quit your current company while youre searching,Neutral
Wait a minute Im in Russia Close to Poland and my income is 4200 after taxes In a position like yours the salary here is 40006000 I have colleagues in Poland and Germany and your income should be at least 5000 AFTER taxes One of our programmers was recently promoted to tech lead and hes only been in the role for a couple of months We set his starting salary at 4500 after taxes with the potential for future growth We realize this is not a lot but its his first time in this role,Neutral
You should easily make 30000 PLN net,Neutral
Dont expect anything more Im a software engineer I fixed the software I fixed the projects and they fired me I have a ministerial award But I recorded them,Negative
come back to spain bro should be doing a 4k eur netmonth Theres a lot of companies that hire remote in here why even go to Poland and be miserable,Negative
Poland IT market is dead mate You are good to have a job,Negative
Definitely underpaid But it might be the fact that the company is quite small I had the same issue working in a smallish company severally underpaid for years Everything was a problem there At some point I asked for a table with pay grades and basically there a manager was getting around 13k I moved to a different company and as a mid dev I got 17 for a start A leadtechnical pm earns there around 2227k on UOP,Negative
I dont think so its just average pay,Neutral
Hey man sorry to hear but I also agree that you are underpaid Although if you work on a contract of employment there is a certain threshold of how much you can usually get paid in bigger corporations Nevertheless youve mentioned youre hired through some legal entity I assume some sort of agency Id recommend updating your resume and actively search the job market and apply to as many suitable openings as you can Id highly recommend landing a job directly at the company without any proxy in between thatll usually guarantee higher earnings and higher ceiling as well although of course theres plenty of shitty companies out there where it would not be the case Anyway just keep at it while actively searching Your salary is not that bad but with your experience and if your performance is good Id certainly pay you more I always recommend to my colleagues to treat job searching as a part of your profession There are some really good positions out there but if you dont have a habit of actively looking youll never get them Good luck,Neutral
Getting rich in Poland is damn near impossible because of the taxes ZUS Someone below 26 working at mcdonalds and uber probably gets the same amount you do after taxes,Negative
I am living in Poland due to personal reasons you can imagine Haha At the moment thinking about Poland only,Neutral
problem is that salaries in poland have gone down since then,Negative
Poland is not an eldorado anymore salaries are stuck on the same level for years now,Negative
I live in a city close to the German border But my position is remote but based in Poland and hired with a Polish legal entity Mmm in Spain this role is 4570 depending on the company In Poland it should be 4060 I believe but my equivalent is around 34k in Euros gross per year,Neutral
There is a certain political affiliation in Spain which glorifies Poland On many Spanish forums among the youth its portrayed as some dream country with perfect conditions,Neutral
Thanks for this info Yes it seems high for graduates with zero exoerience Or maybe they are a bit inflated to promote the course I also feel Hays salary guide is inflated as they get more comission by each hire position,Negative
In reality the average would be about a half of those lol,Neutral
Lol those look like 10yoe salaries IMHO,Negative
This is complete bollocks aint nobodys getting 14k with zero experience even in IT,Negative
Yeah feels op is underpaid but probably industrial engineering is a bit different,Neutral
Where all of you get those fantastic Polishspeaking companies The only Polishspeaking companies Ive encountered were outstaffing for Englishspeaking companies,Neutral
14k gross Net is around 9300 PLN per month Most of the companies are not Polish but it is asked a requirement most of the times when the company has an office and it is not totally remote,Neutral
In some circles in Spain Poland is being portrayed as some perfect country where things are how they used to be and women without feminism Im not agreeing with this portrayal just how its being shown in Spain,Neutral
My gf is from Poland She was living in Spain During Covid she lost her job and we were going back and forth Finally I decided to move in to Poland PS We are together since 2015,Neutral
14k for a junior PM Do I live in a different Warsaw,Negative
Hey That seems to high tbh Poland has lower salaries than Germany or Spain But I thought we had higher than Russia 4500 4000 net is around 75000 gross per year In Germany maybe in Poland I dont think so Btw I work as Project Manager in IT I was Technical when I was working in Steel Manufacturing in a different industry Now I dont know anything about tech Well I know a bit more than usuals PMs but not too much,Neutral
Source your ass,Negative
im Linux programmer Linux JS Python,Neutral
Hi One part is true The threshold in Poland to be considered rich and pay almost 50 of taxes is really low But salaries in McDonalds are really bad They earn 5000PLN grossmonth So within the situation I feel fortunate,Neutral
Hey a friend is in a really similar situation Due to love he moved to Poland He works for a remote UK company english He knows a few people who work for USAIreland companies too Polish seems to be mission impossible but eventually is doable Germany seems to be an option for some too,Neutral
You can check some stats here Or here So yeah salaries definitely went up comparing to 6 years ago For the position OP mentioned you can easily find job offers with salary range reaching 2022k gross per month in Warsaw even more I think One of my friends recently got similar role for 23k gross Another thing is that with this level of salaries its probably better to switch to b2b and this is also what most companies are trying to force to limit their cost of employment,Neutral
Were you not able to keep your previous employment in Spain by transitioning to remote Szczecin Wroclaw poznan,Neutral
also this is the first page in the list meaning the highest I would generally trust this data though,Positive
This data is complete BS Take a look at rpraca currently fresh graduates are willing to go for half of that just to get the job and gain some experience lol I mean if youre an experienced tech lead youre for sure underpaid However assuming 0 experience brokuy get this just by graduating is nonsense,Negative
Part time master studies indicate employment Also top full time bachelors with some experience before their studies get like 10k so I would say more like 5yoe salaries,Neutral
This is gathered from the government income tax reports not some poll,Neutral
this is probably the most accurate salary data you can get since it is taken from real ZUS data,Positive
also assuming 0 experience is false,Negative
I was working in the Industrial area before Now I work in IT but on the bussines side Project Manager So my role is not technical but I know quite a lot about some areas Data Migration Import Services CAPIS Our product itself and of course the different steps during big implementations,Neutral
They just has a Polish significant other what you are describing is common to all the far rights in the world not something unique of Spain,Neutral
Average salaries in Poland are significantly higher than in Russia But in the IT sector unless were talking about some small insignificant company theyre pretty much the same However the cost of living is lower in Russia since rent and other expenses are cheaper For example a colleague on my team lives in Poland and earns 4000 after taxes Hes a decent programmer but just a developer even though hes a senior leads earn more On another team an experienced tech lead earns 6500 after taxes,Neutral
before anyone comes and says no its 33 taxes ZUS tax is 50 for anything above PLN120000 Feel fortunate is irrelevant since we are all fortunate including those mcdonalds workers compared to people in Zimbabwe In Poland the goal is to squeeze the middle class to pay for everyone else and fairenough that is their policy but its why they keep the threshold so low its called fiscal drag Fiscal drag is an economic phenomenon where inflation or income growth pushes taxpayers into higher tax brackets or reduces the value of taxfree allowances while tax thresholds remain frozen This acts as a stealth tax increasing government revenue and the overall tax burden without raising headline tax But since most Poles never make more than PLN120000 they can get away with this stealth tax,Negative
Where the fuck did you get those numbers from I worked in McD for several months as a line worker and usually doing around and above of 180 hours monthly I got barely in range of 38k gross Even with current higher wages you still get barely 4k or so And it isnt light work either,Negative
I was seeing the avg around 15000 PLN around 2019 that was an easy ask between then and before the start of the war in ukraine I was seeing salaries avg at around 30000 40000 PLN but since then whenever I go check whats going on all I see is it spiraling downward All I can guess is that all those ukrainian devs who came to Poland have just flooded the market and pushed salaries down Getting 15k now is not the same as 15k in 2019 either Try looking at the b2b rates you get these days its usually like 150 PLN an hour EU wide thats near the bottom of the market It didnt use to be like that,Negative
Previously I was working in a factory so I needed to be there I was some years asking for favours working remotely but it was not sustainable We were building cranes and special machinery,Neutral
Its Masters Those graduates are already having couple of years of exp,Neutral
od kiedy na nowych sie mowi brokuly a te dane sa najbardziej prawdziwe ze wszystkich bo sa brane z zusu i jak mozna zauwazyc to rocznik 2023 rok po czyli 2024 w 2025 sytuacja mogla sie znacznie pogorszyc,Neutral
Its masters the first page so the highest salaries of all listed and as you can see most of them are part time which indicates that those people might already be employed and decided to get a masters degree while employed instead of the other way around the data is rock solid though,Neutral
